transaction_id,timestamp,type,amount,channel,customer_segment,probabilidad_fraude,nivel_riesgo,alerta,time_window
TXN-10032,2026-04-27 00:45:49,TRANSFER,969547,App movil,Pyme,0.12,bajo,No,Noche
TXN-10033,2026-04-28 20:46:00,TRANSFER,346396,App movil,Pyme,0.12,bajo,No,Noche
TXN-10035,2026-04-28 08:04:25,TRANSFER,14512,Portal web,Retail,0.12,bajo,No,Manana
TXN-10036,2026-04-28 21:05:40,TRANSFER,1005982,Portal web,Retail,0.12,bajo,No,Noche
TXN-10041,2026-04-27 11:46:22,TRANSFER,998449,App movil,Pyme,0.12,bajo,No,Manana
TXN-10046,2026-04-28 21:20:30,TRANSFER,835282,Portal web,Pyme,0.12,bajo,No,Noche
TXN-10047,2026-04-28 13:22:42,TRANSFER,689587,App movil,Retail,0.12,bajo,No,Tarde
TXN-10054,2026-04-29 03:19:50,TRANSFER,460466,App movil,Pyme,0.12,bajo,No,Noche
TXN-10059,2026-04-29 03:48:38,TRANSFER,367703,App movil,Retail,0.12,bajo,No,Noche
TXN-10061,2026-04-27 20:00:08,TRANSFER,1034303,App movil,Retail,0.12,bajo,No,Noche
TXN-10068,2026-04-27 04:56:23,TRANSFER,770991,Portal web,Pyme,0.12,bajo,No,Noche
TXN-10071,2026-04-27 11:12:53,TRANSFER,969015,Portal web,Pyme,0.12,bajo,No,Manana
TXN-10072,2026-04-27 20:22:03,TRANSFER,801455,App movil,Pyme,0.12,bajo,No,Noche
TXN-10075,2026-04-28 07:41:48,TRANSFER,843119,Portal web,Retail,0.12,bajo,No,Manana
TXN-10077,2026-04-29 11:52:06,TRANSFER,641728,App movil,Pyme,0.12,bajo,No,Manana
TXN-10078,2026-04-27 19:05:16,TRANSFER,449453,App movil,Retail,0.12,bajo,No,Noche
TXN-10083,2026-04-28 00:40:10,TRANSFER,736350,Portal web,Retail,0.12,bajo,No,Noche
TXN-10004,2026-04-27 19:28:48,CASH_OUT,118361,Portal web,Retail,0.08,bajo,No,Noche
TXN-10013,2026-04-28 23:31:29,CASH_OUT,712666,ATM,Frecuente,0.08,bajo,No,Noche
TXN-10016,2026-04-28 14:49:47,CASH_OUT,11315,Portal web,Retail,0.08,bajo,No,Tarde
TXN-10017,2026-04-28 00:53:13,CASH_OUT,379536,Portal web,Retail,0.08,bajo,No,Noche
TXN-10025,2026-04-29 04:54:29,CASH_OUT,140685,ATM,Frecuente,0.08,bajo,No,Noche
TXN-10030,2026-04-28 22:27:30,CASH_OUT,919414,ATM,Retail,0.08,bajo,No,Noche
TXN-10034,2026-04-27 08:56:15,CASH_OUT,590011,ATM,Retail,0.08,bajo,No,Manana
TXN-10038,2026-04-28 20:20:04,CASH_OUT,525891,ATM,Frecuente,0.08,bajo,No,Noche
TXN-10042,2026-04-29 06:51:31,CASH_OUT,375228,Portal web,Retail,0.08,bajo,No,Manana
TXN-10044,2026-04-28 19:08:04,CASH_OUT,179301,Portal web,Frecuente,0.08,bajo,No,Noche
TXN-10045,2026-04-28 12:14:07,CASH_OUT,219607,ATM,Retail,0.08,bajo,No,Tarde
TXN-10050,2026-04-28 20:45:15,CASH_OUT,471000,ATM,Frecuente,0.08,bajo,No,Noche
TXN-10052,2026-04-28 01:58:34,CASH_OUT,76518,ATM,Retail,0.08,bajo,No,Noche
TXN-10055,2026-04-27 13:24:05,CASH_OUT,682881,ATM,Frecuente,0.08,bajo,No,Tarde
TXN-10057,2026-04-27 02:37:16,CASH_OUT,41375,ATM,Frecuente,0.08,bajo,No,Noche
TXN-10058,2026-04-28 21:45:30,CASH_OUT,400971,ATM,Retail,0.08,bajo,No,Noche
TXN-10063,2026-04-27 14:19:26,CASH_OUT,280577,Portal web,Retail,0.08,bajo,No,Tarde
TXN-10069,2026-04-28 14:04:35,CASH_OUT,300200,ATM,Retail,0.08,bajo,No,Tarde
TXN-10074,2026-04-28 01:37:29,CASH_OUT,735545,Portal web,Retail,0.08,bajo,No,Noche
TXN-10076,2026-04-28 00:53:56,CASH_OUT,637549,Portal web,Frecuente,0.08,bajo,No,Noche
TXN-10001,2026-04-29 04:02:13,PAYMENT,30851,POS comercio,Retail,0.05,bajo,No,Noche
TXN-10003,2026-04-28 15:17:23,PAYMENT,35668,App movil,Retail,0.05,bajo,No,Tarde
TXN-10007,2026-04-28 15:45:07,PAYMENT,20879,POS comercio,Retail,0.05,bajo,No,Tarde
TXN-10008,2026-04-28 03:54:33,PAYMENT,61240,App movil,Retail,0.05,bajo,No,Noche
TXN-10009,2026-04-29 09:01:39,PAYMENT,63009,App movil,Retail,0.05,bajo,No,Manana
TXN-10011,2026-04-27 23:11:50,PAYMENT,61213,POS comercio,Retail,0.05,bajo,No,Noche
TXN-10023,2026-04-28 15:42:18,PAYMENT,35672,POS comercio,Retail,0.05,bajo,No,Tarde
TXN-10028,2026-04-27 08:11:10,PAYMENT,42956,POS comercio,Frecuente,0.05,bajo,No,Manana
TXN-10039,2026-04-28 07:26:03,PAYMENT,9474,App movil,Retail,0.05,bajo,No,Manana
TXN-10049,2026-04-29 11:43:00,PAYMENT,42422,POS comercio,Frecuente,0.05,bajo,No,Manana
TXN-10053,2026-04-28 09:09:48,PAYMENT,9381,POS comercio,Frecuente,0.05,bajo,No,Manana
TXN-10056,2026-04-28 09:31:17,PAYMENT,43034,POS comercio,Retail,0.05,bajo,No,Manana
TXN-10060,2026-04-29 12:54:56,PAYMENT,36300,POS comercio,Retail,0.05,bajo,No,Tarde
TXN-10062,2026-04-28 21:08:12,PAYMENT,60918,POS comercio,Frecuente,0.05,bajo,No,Noche
TXN-10070,2026-04-27 14:09:47,PAYMENT,53893,App movil,Frecuente,0.05,bajo,No,Tarde
TXN-10073,2026-04-29 02:29:28,PAYMENT,14946,POS comercio,Frecuente,0.05,bajo,No,Noche
TXN-10079,2026-04-28 17:10:29,PAYMENT,49011,App movil,Retail,0.05,bajo,No,Tarde
TXN-10081,2026-04-27 21:22:48,PAYMENT,54273,POS comercio,Retail,0.05,bajo,No,Noche
TXN-10085,2026-04-27 23:48:38,PAYMENT,1495,App movil,Frecuente,0.05,bajo,No,Noche
